date,sku_id,product_name,category,warehouse,unit_cost,shelf_life_days,lead_time_days,reorder_point,reorder_qty,demand_units,inventory_level,stockout_units,promotion,day_of_week,month,quarter,is_weekend,year,days_of_stock,stockout_flag
15-01-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,15,301,0,0,5,1,1,1,2022,20.1,0
16-01-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,21,285,0,1,6,1,1,1,2022,13.6,0
17-01-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,17,273,0,1,0,1,1,0,2022,16.1,0
18-01-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,21,259,0,1,1,1,1,0,2022,12.3,0
19-01-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,23,245,0,1,2,1,1,0,2022,10.7,0
20-01-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,15,230,0,0,3,1,1,0,2022,15.3,0
21-01-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,15,215,0,0,4,1,1,0,2022,14.3,0
22-01-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,13,202,0,0,5,1,1,1,2022,15.5,0
23-01-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,14,188,0,0,6,1,1,1,2022,13.4,0
24-01-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,13,175,0,0,0,1,1,0,2022,13.5,0
25-01-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,12,163,0,0,1,1,1,0,2022,13.6,0
26-01-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,12,151,0,0,2,1,1,0,2022,12.6,0
27-01-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,10,141,0,0,3,1,1,0,2022,14.1,0
28-01-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,13,128,0,0,4,1,1,0,2022,9.8,0
29-01-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,13,115,0,0,5,1,1,1,2022,8.8,0
30-01-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,15,580,0,0,6,1,1,1,2022,38.7,0
31-01-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,11,569,0,0,0,1,1,0,2022,51.7,0
01-02-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,12,557,0,0,1,2,1,0,2022,46.4,0
02-02-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,14,543,0,0,2,2,1,0,2022,38.8,0
03-02-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,14,529,0,0,3,2,1,0,2022,37.8,0
04-02-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,15,514,0,0,4,2,1,0,2022,34.3,0
05-02-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,20,494,0,0,5,2,1,1,2022,24.7,0
06-02-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,17,477,0,0,6,2,1,1,2022,28.1,0
07-02-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,15,462,0,0,0,2,1,0,2022,30.8,0
08-02-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,12,450,0,0,1,2,1,0,2022,37.5,0
09-02-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,12,438,0,0,2,2,1,0,2022,36.5,0
10-02-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,17,421,0,0,3,2,1,0,2022,24.8,0
11-02-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,13,408,0,0,4,2,1,0,2022,31.4,0
12-02-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,14,394,0,0,5,2,1,1,2022,28.1,0
13-02-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,16,378,0,0,6,2,1,1,2022,23.6,0
14-02-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,14,364,0,0,0,2,1,0,2022,26,0
15-02-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,13,351,0,0,1,2,1,0,2022,27,0
16-02-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,14,337,0,0,2,2,1,0,2022,24.1,0
17-02-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,22,321,0,1,3,2,1,0,2022,14.6,0
18-02-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,19,308,0,1,4,2,1,0,2022,16.2,0
19-02-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,20,295,0,1,5,2,1,1,2022,14.8,0
20-02-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,29,277,0,1,6,2,1,1,2022,9.6,0
21-02-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,23,262,0,1,0,2,1,0,2022,11.4,0
22-02-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,13,249,0,0,1,2,1,0,2022,19.2,0
23-02-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,11,238,0,0,2,2,1,0,2022,21.6,0
24-02-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,13,225,0,0,3,2,1,0,2022,17.3,0
25-02-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,14,211,0,0,4,2,1,0,2022,15.1,0
26-02-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,18,193,0,0,5,2,1,1,2022,10.7,0
27-02-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,14,179,0,0,6,2,1,1,2022,12.8,0
28-02-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,14,165,0,0,0,2,1,0,2022,11.8,0
01-03-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,17,148,0,0,1,3,1,0,2022,8.7,0
02-03-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,12,136,0,0,2,3,1,0,2022,11.3,0
03-03-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,18,118,0,0,3,3,1,0,2022,6.6,0
04-03-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,14,104,0,0,4,3,1,0,2022,7.4,0
05-03-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,19,85,0,0,5,3,1,1,2022,4.5,0
06-03-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,19,546,0,0,6,3,1,1,2022,28.7,0
07-03-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,18,528,0,0,0,3,1,0,2022,29.3,0
08-03-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,17,511,0,0,1,3,1,0,2022,30.1,0
09-03-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,12,499,0,0,2,3,1,0,2022,41.6,0
10-03-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,15,484,0,0,3,3,1,0,2022,32.3,0
11-03-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,16,468,0,0,4,3,1,0,2022,29.2,0
12-03-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,18,450,0,0,5,3,1,1,2022,25,0
13-03-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,20,430,0,0,6,3,1,1,2022,21.5,0
14-03-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,18,412,0,0,0,3,1,0,2022,22.9,0
15-03-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,17,395,0,0,1,3,1,0,2022,23.2,0
16-03-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,16,379,0,0,2,3,1,0,2022,23.7,0
17-03-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,13,366,0,0,3,3,1,0,2022,28.2,0
18-03-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,15,351,0,0,4,3,1,0,2022,23.4,0
19-03-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,20,331,0,0,5,3,1,1,2022,16.6,0
20-03-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,16,315,0,0,6,3,1,1,2022,19.7,0
21-03-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,17,298,0,0,0,3,1,0,2022,17.5,0
22-03-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,18,280,0,0,1,3,1,0,2022,15.6,0
23-03-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,16,264,0,0,2,3,1,0,2022,16.5,0
24-03-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,10,254,0,0,3,3,1,0,2022,25.4,0
25-03-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,14,240,0,0,4,3,1,0,2022,17.1,0
26-03-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,23,217,0,0,5,3,1,1,2022,9.4,0
27-03-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,17,200,0,0,6,3,1,1,2022,11.8,0
28-03-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,12,188,0,0,0,3,1,0,2022,15.7,0
29-03-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,19,169,0,0,1,3,1,0,2022,8.9,0
30-03-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,16,153,0,0,2,3,1,0,2022,9.6,0
31-03-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,18,135,0,0,3,3,1,0,2022,7.5,0
01-04-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,19,116,0,0,4,4,2,0,2022,6.1,0
02-04-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,22,94,0,0,5,4,2,1,2022,4.3,0
03-04-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,22,72,0,0,6,4,2,1,2022,3.3,0
04-04-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,20,52,0,0,0,4,2,0,2022,2.6,0
05-04-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,23,509,0,0,1,4,2,0,2022,22.1,0
06-04-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,20,489,0,0,2,4,2,0,2022,24.4,0
07-04-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,15,474,0,0,3,4,2,0,2022,31.6,0
08-04-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,19,455,0,0,4,4,2,0,2022,23.9,0
09-04-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,24,431,0,0,5,4,2,1,2022,18,0
10-04-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,33,407,0,1,6,4,2,1,2022,12.3,0
11-04-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,26,390,0,1,0,4,2,0,2022,15,0
12-04-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,32,369,0,1,1,4,2,0,2022,11.5,0
13-04-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,20,349,0,0,2,4,2,0,2022,17.4,0
14-04-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,24,325,0,0,3,4,2,0,2022,13.5,0
15-04-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,17,308,0,0,4,4,2,0,2022,18.1,0
16-04-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,20,288,0,0,5,4,2,1,2022,14.4,0
17-04-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,20,268,0,0,6,4,2,1,2022,13.4,0
18-04-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,17,251,0,0,0,4,2,0,2022,14.8,0
19-04-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,16,235,0,0,1,4,2,0,2022,14.7,0
20-04-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,12,223,0,0,2,4,2,0,2022,18.6,0
21-04-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,17,206,0,0,3,4,2,0,2022,12.1,0
22-04-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,19,187,0,0,4,4,2,0,2022,9.8,0
23-04-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,20,167,0,0,5,4,2,1,2022,8.4,0
24-04-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,26,141,0,0,6,4,2,1,2022,5.4,0
25-04-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,18,123,0,0,0,4,2,0,2022,6.8,0
26-04-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,21,102,0,0,1,4,2,0,2022,4.9,0
27-04-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,19,83,0,0,2,4,2,0,2022,4.4,0
28-04-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,20,63,0,0,3,4,2,0,2022,3.2,0
29-04-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,19,44,0,0,4,4,2,0,2022,2.3,0
30-04-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,24,500,0,0,5,4,2,1,2022,20.8,0
01-05-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,23,477,0,0,6,5,2,1,2022,20.7,0
02-05-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,21,456,0,0,0,5,2,0,2022,21.7,0
03-05-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,21,435,0,0,1,5,2,0,2022,20.7,0
04-05-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,19,416,0,0,2,5,2,0,2022,21.9,0
05-05-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,21,395,0,0,3,5,2,0,2022,18.8,0
06-05-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,25,370,0,0,4,5,2,0,2022,14.8,0
07-05-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,22,348,0,0,5,5,2,1,2022,15.8,0
08-05-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,24,324,0,0,6,5,2,1,2022,13.5,0
09-05-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,23,301,0,0,0,5,2,0,2022,13.1,0
10-05-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,23,278,0,0,1,5,2,0,2022,12.1,0
11-05-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,20,258,0,0,2,5,2,0,2022,12.9,0
12-05-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,14,244,0,0,3,5,2,0,2022,17.4,0
13-05-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,21,223,0,0,4,5,2,0,2022,10.6,0
14-05-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,17,206,0,0,5,5,2,1,2022,12.1,0
15-05-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,27,179,0,0,6,5,2,1,2022,6.6,0
16-05-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,20,159,0,0,0,5,2,0,2022,8,0
17-05-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,22,137,0,0,1,5,2,0,2022,6.2,0
18-05-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,18,119,0,0,2,5,2,0,2022,6.6,0
19-05-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,16,103,0,0,3,5,2,0,2022,6.4,0
20-05-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,20,83,0,0,4,5,2,0,2022,4.2,0
21-05-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,23,60,0,0,5,5,2,1,2022,2.6,0
22-05-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,21,39,0,0,6,5,2,1,2022,1.9,0
23-05-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,20,499,0,0,0,5,2,0,2022,25,0
24-05-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,26,473,0,0,1,5,2,0,2022,18.2,0
25-05-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,22,451,0,0,2,5,2,0,2022,20.5,0
26-05-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,31,429,0,1,3,5,2,0,2022,13.8,0
27-05-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,33,407,0,1,4,5,2,0,2022,12.3,0
28-05-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,38,380,0,1,5,5,2,1,2022,10,0
29-05-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,33,358,0,1,6,5,2,1,2022,10.8,0
30-05-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,24,343,0,1,0,5,2,0,2022,14.3,0
31-05-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,29,324,0,1,1,5,2,0,2022,11.2,0
01-06-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,34,302,0,1,2,6,2,0,2022,8.9,0
02-06-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,18,284,0,0,3,6,2,0,2022,15.8,0
03-06-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,20,264,0,0,4,6,2,0,2022,13.2,0
04-06-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,22,242,0,0,5,6,2,1,2022,11,0
05-06-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,28,214,0,0,6,6,2,1,2022,7.6,0
06-06-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,22,192,0,0,0,6,2,0,2022,8.7,0
07-06-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,22,170,0,0,1,6,2,0,2022,7.7,0
08-06-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,22,148,0,0,2,6,2,0,2022,6.7,0
09-06-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,20,128,0,0,3,6,2,0,2022,6.4,0
10-06-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,21,107,0,0,4,6,2,0,2022,5.1,0
11-06-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,20,87,0,0,5,6,2,1,2022,4.4,0
12-06-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,17,70,0,0,6,6,2,1,2022,4.1,0
13-06-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,21,49,0,0,0,6,2,0,2022,2.3,0
14-06-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,21,508,0,0,1,6,2,0,2022,24.2,0
15-06-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,23,485,0,0,2,6,2,0,2022,21.1,0
16-06-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,24,461,0,0,3,6,2,0,2022,19.2,0
17-06-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,24,437,0,0,4,6,2,0,2022,18.2,0
18-06-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,21,416,0,0,5,6,2,1,2022,19.8,0
19-06-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,23,393,0,0,6,6,2,1,2022,17.1,0
20-06-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,22,371,0,0,0,6,2,0,2022,16.9,0
21-06-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,27,344,0,0,1,6,2,0,2022,12.7,0
22-06-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,24,320,0,0,2,6,2,0,2022,13.3,0
23-06-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,23,297,0,0,3,6,2,0,2022,12.9,0
24-06-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,20,277,0,0,4,6,2,0,2022,13.8,0
25-06-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,21,256,0,0,5,6,2,1,2022,12.2,0
26-06-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,26,230,0,0,6,6,2,1,2022,8.8,0
27-06-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,18,212,0,0,0,6,2,0,2022,11.8,0
28-06-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,20,192,0,0,1,6,2,0,2022,9.6,0
29-06-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,20,172,0,0,2,6,2,0,2022,8.6,0
30-06-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,24,148,0,0,3,6,2,0,2022,6.2,0
01-07-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,19,129,0,0,4,7,3,0,2022,6.8,0
02-07-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,16,113,0,0,5,7,3,1,2022,7.1,0
03-07-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,24,89,0,0,6,7,3,1,2022,3.7,0
04-07-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,18,71,0,0,0,7,3,0,2022,3.9,0
05-07-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,20,51,0,0,1,7,3,0,2022,2.6,0
06-07-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,20,511,0,0,2,7,3,0,2022,25.6,0
07-07-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,19,492,0,0,3,7,3,0,2022,25.9,0
08-07-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,22,470,0,0,4,7,3,0,2022,21.4,0
09-07-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,19,451,0,0,5,7,3,1,2022,23.7,0
10-07-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,22,429,0,0,6,7,3,1,2022,19.5,0
11-07-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,22,407,0,0,0,7,3,0,2022,18.5,0
12-07-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,19,388,0,0,1,7,3,0,2022,20.4,0
13-07-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,16,372,0,0,2,7,3,0,2022,23.2,0
14-07-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,22,350,0,0,3,7,3,0,2022,15.9,0
15-07-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,23,327,0,0,4,7,3,0,2022,14.2,0
16-07-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,23,304,0,0,5,7,3,1,2022,13.2,0
17-07-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,18,286,0,0,6,7,3,1,2022,15.9,0
18-07-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,22,264,0,0,0,7,3,0,2022,12,0
19-07-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,16,248,0,0,1,7,3,0,2022,15.5,0
20-07-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,21,227,0,0,2,7,3,0,2022,10.8,0
21-07-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,18,209,0,0,3,7,3,0,2022,11.6,0
22-07-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,17,192,0,0,4,7,3,0,2022,11.3,0
23-07-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,22,170,0,0,5,7,3,1,2022,7.7,0
24-07-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,23,147,0,0,6,7,3,1,2022,6.4,0
25-07-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,18,129,0,0,0,7,3,0,2022,7.2,0
26-07-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,21,108,0,0,1,7,3,0,2022,5.1,0
27-07-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,19,89,0,0,2,7,3,0,2022,4.7,0
28-07-2022,SKU-001,Wireless Headphones,Electronics,WH-East,45,,9,216,480,22,67,0,0,3,7,3,0,2022,3,0
